file,mean_reward,std_reward,rewards
dqn_double_lr05_SpaceInvaders-v0_weights_1000000.h5f,20.9,5.57584074378026,"[33.0, 19.0, 25.0, 20.0, 12.0, 21.0, 17.0, 24.0, 15.0, 23.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_50000.h5f,20.7,9.685556256612212,"[11.0, 22.0, 31.0, 18.0, 16.0, 23.0, 39.0, 27.0, 17.0, 3.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_925000.h5f,19.6,5.0039984012787215,"[15.0, 14.0, 19.0, 25.0, 15.0, 21.0, 21.0, 13.0, 25.0, 28.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_725000.h5f,18.7,3.0675723300355937,"[19.0, 23.0, 18.0, 23.0, 20.0, 19.0, 19.0, 13.0, 19.0, 14.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_775000.h5f (1),18.5,3.774917217635375,"[21.0, 8.0, 21.0, 19.0, 18.0, 18.0, 22.0, 18.0, 21.0, 19.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_25000.h5f (1),18.2,6.63023378170031,"[24.0, 6.0, 23.0, 11.0, 28.0, 17.0, 17.0, 26.0, 14.0, 16.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_650000.h5f,18.1,7.020683727387241,"[22.0, 19.0, 11.0, 23.0, 12.0, 30.0, 21.0, 25.0, 8.0, 10.0]"
dqn_double_lr05_SpaceInvaders-v0_weights.h5f (2),18.0,6.131883886702357,"[18.0, 10.0, 18.0, 14.0, 26.0, 17.0, 24.0, 29.0, 11.0, 13.0]"
dqn_double_lr05_SpaceInvaders-v0_weights.h5f,18.0,2.6076809620810595,"[19.0, 21.0, 19.0, 17.0, 14.0, 14.0, 16.0, 18.0, 20.0, 22.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_675000.h5f,17.4,5.023942674832188,"[30.0, 13.0, 12.0, 18.0, 17.0, 17.0, 21.0, 16.0, 18.0, 12.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_850000.h5f (1),17.4,6.7111846942250075,"[11.0, 12.0, 32.0, 25.0, 19.0, 13.0, 21.0, 13.0, 18.0, 10.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_925000.h5f (1),17.4,4.127953488110059,"[18.0, 21.0, 18.0, 21.0, 24.0, 13.0, 9.0, 16.0, 19.0, 15.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_850000.h5f,17.1,5.243090691567332,"[12.0, 22.0, 8.0, 15.0, 19.0, 22.0, 26.0, 19.0, 16.0, 12.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_975000.h5f (1),17.1,4.825971404805461,"[14.0, 22.0, 7.0, 21.0, 11.0, 21.0, 18.0, 16.0, 22.0, 19.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_450000.h5f,17.0,4.171330722922842,"[20.0, 13.0, 18.0, 9.0, 19.0, 12.0, 16.0, 22.0, 22.0, 19.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_700000.h5f (1),16.9,4.22965719651132,"[17.0, 14.0, 10.0, 14.0, 12.0, 22.0, 20.0, 17.0, 24.0, 19.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_875000.h5f,16.9,4.1340053217188775,"[18.0, 8.0, 18.0, 22.0, 19.0, 18.0, 19.0, 18.0, 10.0, 19.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_675000.h5f (1),16.8,2.993325909419153,"[21.0, 19.0, 14.0, 16.0, 18.0, 13.0, 22.0, 16.0, 16.0, 13.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_975000.h5f,16.8,3.280243893371345,"[16.0, 16.0, 19.0, 16.0, 21.0, 21.0, 13.0, 17.0, 10.0, 19.0]"
dqn_double_lr05_SpaceInvaders-v0_weights.h5f (1),16.7,7.128113354878694,"[29.0, 10.0, 25.0, 24.0, 9.0, 19.0, 8.0, 18.0, 10.0, 15.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_75000.h5f (1),16.7,7.057619995437555,"[19.0, 10.0, 8.0, 27.0, 22.0, 8.0, 28.0, 19.0, 14.0, 12.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_825000.h5f,16.6,5.141984052872977,"[30.0, 12.0, 16.0, 20.0, 12.0, 13.0, 15.0, 17.0, 13.0, 18.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_700000.h5f,16.5,6.15223536610881,"[7.0, 23.0, 18.0, 29.0, 14.0, 13.0, 16.0, 21.0, 14.0, 10.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_800000.h5f,16.5,6.08687111741328,"[22.0, 5.0, 24.0, 17.0, 19.0, 21.0, 16.0, 15.0, 20.0, 6.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_600000.h5f,16.4,4.454211490264018,"[18.0, 9.0, 17.0, 13.0, 15.0, 25.0, 17.0, 21.0, 18.0, 11.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_175000.h5f,16.3,5.866003750424986,"[15.0, 3.0, 20.0, 8.0, 17.0, 19.0, 18.0, 22.0, 19.0, 22.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_200000.h5f,16.1,6.549045732013176,"[17.0, 20.0, 15.0, 4.0, 9.0, 25.0, 22.0, 10.0, 24.0, 15.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_725000.h5f (1),16.0,5.196152422706632,"[19.0, 17.0, 12.0, 15.0, 21.0, 27.0, 12.0, 8.0, 17.0, 12.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_800000.h5f (1),16.0,4.795831523312719,"[21.0, 10.0, 7.0, 18.0, 11.0, 19.0, 15.0, 19.0, 18.0, 22.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_875000.h5f (1),16.0,4.959838707054898,"[17.0, 16.0, 7.0, 20.0, 21.0, 16.0, 13.0, 9.0, 24.0, 17.0]"
